,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
704,5223158,https://www.airbnb.com/rooms/5223158,20240911015603,2024-09-11,previous scrape,Nice room for 2 Person.,"My room is in the 12th district of Vienna. Everything is close by (supermarkets, bars, subway station....). From my place into the city center it takes less than 15min. ",,https://a0.muscache.com/pictures/65297574/79f6cab0_original.jpg,27026953,https://www.airbnb.com/users/show/27026953,Kilian,2015-02-01,"Vienna, Austria",,,,,f,https://a0.muscache.com/im/users/27026953/profile_pic/1422784306/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/27026953/profile_pic/1422784306/original.jpg?aki_policy=profile_x_medium,Meidling,1.0,1.0,"['email', 'phone']",t,t,,Meidling,,48.1766,16.33768,Private room in rental unit,Private room,2,,1 bath,,,"[""Elevator"", ""Pets allowed"", ""Wifi"", ""Washer"", ""Kitchen"", ""Heating"", ""Essentials""]",,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,0,0,2024-09-11,1,0,0,2015-02-24,2015-02-24,4.0,3.0,2.0,3.0,3.0,2.0,3.0,,f,1,0,1,0,0.01
883,6180304,https://www.airbnb.com/rooms/6180304,20240911015603,2024-09-11,previous scrape,Große Dachterrassenwohnung,"Those who have been here once must simply love our apartment, next to the large terrace (about 23 sqm), which is by far my favorite place in summer, it offers a spacious kitchen-living room where at least 8 people can eat comfortably and high, bright bedrooms!",,https://a0.muscache.com/pictures/77016697/0fc1f7e5_original.jpg,32052868,https://www.airbnb.com/users/show/32052868,Jakob,2015-04-27,"Vienna, Austria","Ich studiere Architektur im 3ten Semster in Wien komme aber ursprünglich aus Karlsruhe in Deutschland, mich haben vor allem zwei Dinge nach Wien getrieben der nicht vorhandene NC und die halb vernebelte Erinnerung an meine Abschlussfahrt mit der Schule in diese wunderschöne Stadt. Seit  nun fast 2 Jahren wohne ich mit einer Freundin und 2 Freunden zusammen im 9ten Wiener Bezirk direkt am Franz-Josefs-Bahnhof ca. 5 Gehminuten vom Donaukanal entfernt. Meine großen Hobbies sind in der Sonne liegen und Bier trinken!",,,,f,https://a0.muscache.com/im/pictures/user/2cf6869b-2555-4d25-9e41-a5a8c9ec133e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2cf6869b-2555-4d25-9e41-a5a8c9ec133e.jpg?aki_policy=profile_x_medium,,1.0,3.0,"['email', 'phone']",t,t,,Alsergrund,,48.22868,16.35817,Private room in rental unit,Private room,2,,1 bath,,,"[""Elevator"", ""Pets allowed"", ""Washer"", ""Indoor fireplace"", ""Wifi"", ""Kitchen"", ""Smoke alarm"", ""Heating"", ""Essentials"", ""Smoking allowed"", ""Carbon monoxide alarm""]",,2,1125,2,2,1125,1125,2.0,1125.0,,t,0,0,0,0,2024-09-11,1,0,0,2015-07-29,2015-07-29,5.0,0.0,0.0,0.0,5.0,5.0,5.0,,f,1,0,1,0,0.01
979,7079941,https://www.airbnb.com/rooms/7079941,20240911015603,2024-09-11,previous scrape,Stylish & Central Vienna Apartment,"Wonderful historic apartment of an artist, build in 1900s Vienna, wooden floors, wooden furniture, leather couch, trees & park outside, 8min to underground, in one of Vienna's most hip and central districts.","The sixth district in Vienna belongs to the most classic bourgeois-bohemian areas with lots of Biedermeier architecture, small shops and concept stores and features some of the most beautiful of Secession houses. Direct and fast access to the city center and its sights in front of the door. Central train station Westbahnhof: 10min.",https://a0.muscache.com/pictures/89801816/881428ba_original.jpg,6196667,https://www.airbnb.com/users/show/6196667,,,,,,,,f,,,,,,,,,"Vienna, Wien, Austria",Mariahilf,,48.19336,16.34596,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,"[""Dryer"", ""Washer"", ""Wifi"", ""First aid kit"", ""Kitchen"", ""Shampoo"", ""Heating"", ""Smoke alarm"", ""Essentials"", ""Carbon monoxide alarm"", ""Hot tub""]",,1,1125,1,1,1125,1125,1.0,1125.0,,,0,0,0,0,2024-09-11,1,0,0,2015-09-05,2015-09-05,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,f,1,1,0,0,0.01
1152,9847639,https://www.airbnb.com/rooms/9847639,20240911015603,2024-09-11,previous scrape,Nice flat (15 minutes walk to 1st district),"Central bright 3 room apartment (83 m2) for maximum two people; bathroom with bathtub and shower, small kitchen on the 3rd floor without lift","Nette Gegend und zentrale Lage, Märkte, Restaurants, Park und öffentlicher Transport sind gut zu Fuß erreichbar.",https://a0.muscache.com/pictures/ec8121f6-3544-405b-a458-a637f6479f57.jpg,50704905,https://www.airbnb.com/users/show/50704905,Martin,2015-12-07,Austria,"I like people, music, and chess",,,,f,https://a0.muscache.com/im/pictures/user/88696c76-a230-48f2-8ab1-88fcf7518461.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/88696c76-a230-48f2-8ab1-88fcf7518461.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone', 'work_email']",t,t,"Vienna, Wien, Austria",Leopoldstadt,,48.22129,16.37553,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Drying rack for clothing"", ""Diverse body soap"", ""Extra pillows and blankets"", ""Bathtub"", ""Cleaning products"", ""Hot water kettle"", ""Dining table"", ""First aid kit"", ""Iron"", ""Bed linens"", ""Heating"", ""Hangers"", ""Sonos sound system"", ""Cooking basics"", ""Cleaning available during stay"", ""Clothing storage: dresser"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Blender"", ""Stove"", ""Wifi"", ""Private entrance"", ""Kitchen"", ""Shampoo"", ""Shared backyard \u2013 Fully fenced"", ""Shower gel"", ""Essentials"", ""Dishwasher"", ""Fire extinguisher"", ""Dedicated workspace"", ""Piano"", ""Host greets you"", ""Ethernet connection"", ""Washer"", ""Room-darkening shades"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Bikes"", ""Laundromat nearby"", ""Board games"", ""Baking sheet"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Books and reading material"", ""TV with standard cable"", ""Single level home""]",,30,58,30,30,58,58,30.0,58.0,,t,0,0,0,0,2024-09-11,1,0,0,2017-04-25,2017-04-25,4.0,3.0,2.0,3.0,3.0,5.0,4.0,,f,1,1,0,0,0.01
1258,10939195,https://www.airbnb.com/rooms/10939195,20240911015603,2024-09-11,previous scrape,"Charming flat, 12mins to citycenter","Very cosy and neat 2-rooms flat with different influences of the whole wide world. You will be living in typical viennese fin de siécle building, which is perfectly located and connected to the city center (15´). There is everything you need nearby.","The 18th district is known for its green parks and for its beautiful historical buildings. My flat is located near Währinger Straße, which is the main street in this district. It offers you anything you need + ""Kutschkermarkt"", a BIO-marked, and really nice Cafés nearby.",https://a0.muscache.com/pictures/2bfed065-3227-4057-bef0-eb4705fd753f.jpg,56717763,https://www.airbnb.com/users/show/56717763,Alexander,2016-01-30,"Vienna, Austria",,,,,f,https://a0.muscache.com/im/pictures/user/7819bbe0-440c-4710-a656-9c2260198dc1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7819bbe0-440c-4710-a656-9c2260198dc1.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,f,"Vienna, Wien, Austria",Whring,,48.2292,16.33877,Entire rental unit,Entire home/apt,4,,1 bath,2.0,,"[""Washer"", ""Wifi"", ""Kitchen"", ""Iron"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Essentials"", ""TV""]",,2,1125,2,2,1125,1125,2.0,1125.0,,,0,0,0,0,2024-09-11,1,0,0,2016-02-20,2016-02-20,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,f,1,1,0,0,0.01
1472,13091700,https://www.airbnb.com/rooms/13091700,20240911015603,2024-09-11,previous scrape,Modern Apartment close to Hundertwasserhaus,"Our lovely home is located in the middle of Vienna, public transportation is at 5 minutes walking distance and will take you to the heart of Vienna in under 10 minutes. We have three bedrooms with one bedroom having an extra Couch were people could sleep on, as well. <br />Our apartment is equipped with all necessities, such as a modern kitchen, with oven, dishwasher and fridge, a bathroom with shower and bathtub and a washing machine.",,https://a0.muscache.com/pictures/a51f623e-3c82-4b12-8ec7-0a92fa78264f.jpg,36325447,https://www.airbnb.com/users/show/36325447,Magdalena,2015-06-21,"Vienna, Austria","Hello we are a WG of two people, Ines and Magdalena. We were both born and raised in Vienna, so if you have any questions about the city we are happy to help. Ines and I are both studying at the moment. On a rainy day we both love to have a movie marathon, but when it's warm and nice outside we enjoy going to the Prater (a big park in Vienna) which is very close to our apartment (15 minutes walking distance) and hang out there. We both love to travel and are interested in other cultures. Ines and I both lived abroad for some time. 
We would love to have you as our guest. ",,,,f,https://a0.muscache.com/im/users/36325447/profile_pic/1435133756/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/36325447/profile_pic/1435133756/original.jpg?aki_policy=profile_x_medium,Landstraße,2.0,3.0,"['email', 'phone']",t,t,,Landstra§e,,48.19368,16.40059,Entire rental unit,Entire home/apt,6,,1 bath,3.0,,"[""Dryer"", ""Washer"", ""Wifi"", ""Kitchen"", ""Iron"", ""Heating"", ""Hangers"", ""Hair dryer"", ""TV""]",,3,1125,3,3,1125,1125,3.0,1125.0,,t,0,0,0,0,2024-09-11,1,0,0,2016-07-30,2016-07-30,4.0,4.0,2.0,4.0,5.0,5.0,4.0,,f,2,1,1,0,0.01
1560,12675602,https://www.airbnb.com/rooms/12675602,20240911015603,2024-09-11,previous scrape,Cozy room in 100m flat with terrace,"Room in a shared flat (with my flatmate) to rent, bathroom with shower and bathtub, kitchen, shared living room and a big rooftop terrace. Near to the center of Vienna, metro about 5 minutes away, approx 10 minutes with the tram to the city center",,https://a0.muscache.com/pictures/400ddd28-7eda-4485-b682-401cbecbe3ed.jpg,11663611,https://www.airbnb.com/users/show/11663611,Arno,2014-01-26,"Vienna, Austria",,,,,f,https://a0.muscache.com/im/users/11663611/profile_pic/1436383957/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/11663611/profile_pic/1436383957/original.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,,Alsergrund,,48.21613,16.34589,Private room in rental unit,Private room,2,,1 bath,,,"[""Elevator"", ""Washer"", ""Wifi"", ""Kitchen"", ""First aid kit"", ""Heating"", ""Fire extinguisher"", ""Hangers"", ""Essentials"", ""Smoking allowed"", ""Lock on bedroom door"", ""TV with standard cable""]",,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,0,0,2024-09-11,1,0,0,2016-05-29,2016-05-29,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,f,1,0,1,0,0.01
1563,12715945,https://www.airbnb.com/rooms/12715945,20240911015603,2024-09-11,previous scrape,Feel Good Room in Vienna's Heart,Welcome to wonderful Vienna.<br />The city is guaranteed to give you a good time. As well as your future feel-good room in the heart of Vienna's city center. The apartment is perfectly located for exploring the sights on foot.,,https://a0.muscache.com/pictures/9ed986f5-5efc-4cfd-b443-b8348bde3567.jpg,69138688,https://www.airbnb.com/users/show/69138688,Anna,2016-04-27,"Vienna, Austria",,,,,f,https://a0.muscache.com/im/pictures/user/e6310ac9-b573-467d-b8ad-e7671282916c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e6310ac9-b573-467d-b8ad-e7671282916c.jpg?aki_policy=profile_x_medium,Leopoldstadt,1.0,1.0,"['email', 'phone', 'work_email']",t,t,,Leopoldstadt,,48.21452,16.38569,Private room in rental unit,Private room,3,,1 bath,,,"[""Elevator"", ""Washer"", ""Wifi"", ""Kitchen"", ""Iron"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Lock on bedroom door""]",,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,0,0,2024-09-11,1,0,0,2016-05-01,2016-05-01,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,f,1,0,1,0,0.01
1748,13810584,https://www.airbnb.com/rooms/13810584,20240911015603,2024-09-11,previous scrape,Wohnung / Zentrale Lage / Tolle Umgebung,"Attention: The quoted price is for one of the two rooms available! If you are interested in the whole apartment, please contact me.<br />Great apartment in the 9th district of Vienna. The direct proximity to the water, the cozy furnishings and the restaurants and bars in the area will surely leave your vacation unforgettable!",Hip area with great bars and dining and dining options,https://a0.muscache.com/pictures/b8388607-9cd3-4daa-b062-34803771c57e.jpg,19101247,https://www.airbnb.com/users/show/19101247,Felix,2014-07-29,"Vienna, Austria",,,,,f,https://a0.muscache.com/im/pictures/user/f85f52b4-fb2f-4764-91dc-779c6a0a1f70.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f85f52b4-fb2f-4764-91dc-779c6a0a1f70.jpg?aki_policy=profile_x_medium,,2.0,3.0,"['email', 'phone']",t,f,"Vienna, Wien, Austria",Brigittenau,,48.22822,16.36427,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Washer"", ""Wifi"", ""Kitchen"", ""Iron"", ""Hair dryer"", ""Essentials"", ""TV""]",,2,75,2,2,75,75,2.0,75.0,,,0,0,0,0,2024-09-11,1,0,0,2016-07-26,2016-07-26,5.0,5.0,2.0,5.0,5.0,5.0,4.0,,f,2,2,0,0,0.01
1819,13536003,https://www.airbnb.com/rooms/13536003,20240911015603,2024-09-11,previous scrape,WG-Zimmer,"My place is close to Augarten. You'll love my place because of the coziness, comfortable bed, and high ceilings. My place is good for solo adventurers and business travelers.",,https://a0.muscache.com/pictures/2f8a422b-894b-47c8-92a2-e17b0497d392.jpg,75152974,https://www.airbnb.com/users/show/75152974,Adrian,2016-06-01,,,,,,f,https://a0.muscache.com/im/pictures/user/0bbc79ec-39ad-4525-a7c9-1078e808b694.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0bbc79ec-39ad-4525-a7c9-1078e808b694.jpg?aki_policy=profile_x_medium,Brigittenau,1.0,2.0,"['email', 'phone']",t,t,,Brigittenau,,48.22873,16.37495,Private room in rental unit,Private room,1,,1 shared bath,,,"[""Wifi"", ""Washer"", ""Kitchen"", ""Shampoo"", ""Hangers"", ""Essentials"", ""Smoking allowed""]",,10,30,10,10,30,30,10.0,30.0,,t,0,0,0,0,2024-09-11,1,0,0,2016-07-10,2016-07-10,4.0,5.0,2.0,5.0,5.0,4.0,4.0,,f,1,0,1,0,0.01
